prenom
Marie
Jeanne
Françoise
Monique
Catherine
Nathalie
Isabelle
Jacqueline
Sylvie
Anne
Martine
Madeleine
Nicole
Suzanne
Hélène
Christine
Louise
Marguerite
Denise
Christiane
Yvonne
Valérie
Sophie
Sandrine
Céline
Stéphanie
Véronique
Chantal
Marcelle
Renée
Simone
Jeannine
Andrée
Julie
Paulette
Germaine
Annie
Lucie
Camille
Patricia
Léa
Alice
Yvette
Brigitte
Emilie
Odette
Geneviève
Aurélie
Laurence
Michèle
Cécile
Thérèse
Colette
Manon
Sarah
Virginie
Juliette
Lucienne
Emma
Dominique
Raymonde
Corinne
Elisabeth
Claire
Claudine
Pauline
Danielle
Elodie
Caroline
Chloé
Christelle
Josette
Georgette
Charlotte
Laura
Florence
Mathilde
Maria
Audrey
Bernadette
Gisèle
Mélanie
Anaïs
Laetitia
Nadine
Ginette
Annick
Béatrice
Mireille
Evelyne
Delphine
Henriette
Marion
Josiane
Marthe
Michelle
Anna
Karine
Marine
Elise
Eliane
Agnès
Liliane
Micheline
Rose
Carole
Fabienne
Simonne
Sandra
Jocelyne
Pascale
Gabrielle
Jade
Inès
Anne-Marie
Clara
Myriam
Amélie
Amandine
Sabrina
Justine
Joëlle
Alexandra
Odile
Francine
Maryse
Solange
Aline
Huguette
Josephine
Eva
Marie-Thérèse
Clémence
Océane
Fernande
Sonia
Laure
Irène
Pierrette
Vanessa
Emmanuelle
Fanny
Severine
Daniele
Arlette
Julia
Angelique
Marie-Christine
Lola
Morgane
Estelle
Nadia
Magali
Antoinette
Angèle
Jessica
Muriel
Berthe
Eugénie
Nelly
Lucette
Lisa
Lina
Janine
Aurore
Jennifer
Mélissa
Zoé
Léonie
Ghislaine
Cindy
Sabine
Margaux
Lydie
Régine
Gilberte
Romane
Léna
Célia
Marie-Claude
Edith
Claude
Agathe
Ambre
Noemie
Coralie
Elisa
Adeline
Marie-France
Yolande
Sylviane
Viviane
Mauricette
Alicia
Rachel
Valentine
Frédérique
Jeanine
Maeva
Lou
Marie-Louise
Margot
Elsa
Claudette
Gaelle
Nina
Paule
Andréa
Carine
Adèle
Emilienne
Lilou
Olivia
Marina
Victoria
Ludivine
Augustine
Nadege
Blanche
